"法人の名称フリガナ","法人の名称","法人区分","行政庁","郵便番号","都道府県","主たる事務所の住所","代表電話番号","代表者の氏名","ホームページアドレス","事業年度","事業の種類","事業の概要","税額控除に係る証明","有効期間"
"コウエキザイダンホウジンガンシュウガクテキチリョウケンキュウザイダン","公益財団法人がん集学的治療研究財団","公益財団法人","内閣府","136-0071","東京都","江東区亀戸１丁目３８番４号　朝日生命江東ビル３階","03-5627-7593","山岸 久一","http://www.jfmc.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業","本財団は、患者に優しく且つ患者の望む治療効果をより効率的に実現する治療法の確立を目的として、がんの集学的治療に関する助成・研究支援、臨床研究及びデータ解析、講演会開催、国内外諸団体との連携等を行う。","なし",""
"コウエキザイダンホウジントウヨウボウバイオテクノロジーケンキュウザイダン","公益財団法人東洋紡バイオテクノロジー研究財団","公益財団法人","内閣府","530-0001","大阪府","大阪市北区梅田一丁目１３番１号大阪梅田ツインタワーズ・サウス","06-6348-4111","坂元　龍三","https://www.toyobo.co.jp/biofund","0401～0331","学術及び科学技術の振興を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業","バイオテクノロジー及びその関連の科学技術の調査、研究開発を助成し、その成果を通じて、より高度な文明社会の創造に寄与することを目的とし、研究会の開催、各種資料の刊行、助成金の交付等の事業を行う。","なし",""
"コウエキシャダンホウジンチバケンジュウドウセイフクシカイ","公益社団法人千葉県柔道整復師会","公益社団法人","千葉県","260-0843","千葉県","千葉市中央区末広３丁目２１番６号","043-265-0356","木村　光雄","http://www.chisetu.jp","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
高齢者の福祉の増進を目的とする事業
公衆衛生の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
犯罪の防止又は治安の維持を目的とする事業","本会は、日本の伝統医療である柔道整復学及び柔道整復術の進歩発展と柔道整復師の資質の向上を図るとともに、保健・医療に関する諸制度の円滑な運営と健全な発展に寄与する事業を実施する。","なし",""
"コウエキザイダンホウジンツジコクサイショウガクザイダン","公益財団法人辻国際奨学財団","公益財団法人","内閣府","141-0032","東京都","品川区大崎一丁目６番１号","03-3779-9108","辻 信太郎","http://www.tsuji-isf.com/","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","主として発展途上国からの留学生のうち、成績優秀かつ経済困難な者に対し奨学金を支給して援助すると共に、留学生間の交流会開催により、相互理解、国際理解を深め、友好親善を図る事業を行う","なし",""
"コウエキシャダンホウジンニホンフドウサンガッカイ","公益社団法人日本不動産学会","公益社団法人","内閣府","101-0054","東京都","千代田区神田錦町3-1　ちよだプラットフォームスクウェア1213","070-4074-1096","氷鉋　揚四郎","http://www.jares.or.jp/jp/","0401～0331","学術及び科学技術の振興を目的とする事業","不動産に関する総合的かつ学際的な研究・教育の促進など","なし",""
"コウエキザイダンホウジントクシマケンマイゾウブンカザイセンター","公益財団法人徳島県埋蔵文化財センター","公益財団法人","徳島県","779-0108","徳島県","板野郡板野町犬伏字平山８６番２","088-672-4545","東端　久和","http://www.tokushima-maibun.net","0401～0331","学術及び科学技術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業","１　埋蔵文化財の発掘調査及び研究を行う事業
２　出土した文化財の整理及び保存を行う事業
３　埋蔵文化財の活用及び保存意識の啓発普及に関する事業","なし",""
"コウエキザイダンホウジンナラワイエムシーエー","公益財団法人奈良ＹＭＣＡ","公益財団法人","奈良県","631-0823","奈良県","奈良市西大寺国見町２丁目１４番１号","0742-44-2207","上地　信親","https://www.naraymca.or.jp/","0401～0331","児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","国際協力、地域奉仕、ウエルネス、音楽・芸術、語学教育などの幅広い活動を展開し、心豊かな人々が息づく地域社会づくり、そして人類が共に生きることができる平和な世界の実現のための事業。","あり","2023-08-20～2028-08-19"
"コウエキシャダンホウジンニホンコウツウセイサクケンキュウカイ","公益社団法人日本交通政策研究会","公益社団法人","内閣府","102-0073","東京都","千代田区九段北１丁目１２番６号守住ビル","03-3263-1945","山内　弘隆","https://www.nikkoken.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
事故又は災害の防止を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
国土の利用、整備又は保全を目的とする事業
地域社会の健全な発展を目的とする事業","交通政策及び道路交通に関する諸課題に関し、安全、環境、国土・地域・都市政策等の観点から学際的な調査研究を実施、シンポジウムや講演会等を開催し成果を公表、また報告書として刊行・配布する。","なし",""
"コウエキザイダンホウジンキョウトフコクサイセンター","公益財団法人京都府国際センター","公益財団法人","京都府","601-8047","京都府","京都市南区東九条下殿田町７０番地京都府民総合交流プラザ内","075-681-2500","山極　壽一","http://www.kpic.or.jp/","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業","多文化共生の地域づくりを推進する事業、府民の国際交流、国際協力及び国際理解の推進に関する事業","なし",""
"コウエキザイダンホウジンミズホガクジュツシンコウザイダン","公益財団法人みずほ学術振興財団","公益財団法人","内閣府","100-0005","東京都","千代田区丸の内１丁目６番１号丸の内センタービルディング２階","03-5220-5764","坂井　辰史","https://www.mizuho-fg.co.jp/csr/local/foundation/promotion.html","0401～0331","学術及び科学技術の振興を目的とする事業","青年層における学術の研究を奨励するために、工学研究に対する助成金の交付、懸賞論文の募集・表彰を行っている。","なし",""
"コウエキザイダンホウジンコウノイケショウガクザイダン","公益財団法人鴻池奨学財団","公益財団法人","内閣府","541-0057","大阪府","大阪市中央区北久宝寺町３丁目６番１号本町南ガーデンシティ","06-6245-6623","鴻池　一季","","0401～0331","学術及び科学技術の振興を目的とする事業","(1) 大学に在学する学生（留学生を含む）に対する奨学金の給付
(2) 土木・建築に関する研究に対する助成","なし",""
"コウエキザイダンホウジンスギヤマケンギョウイトクケンショウカイ","公益財団法人杉山検校遺徳顕彰会","公益財団法人","内閣府","130-0025","東京都","墨田区千歳１丁目８番２号","03-3634-1055","和久田　哲司","http://www13.plala.or.jp/sugiyamakengyou/","0401～0331","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業","日本伝統の鍼灸手技療法の継承と学術興隆、発展普及によって、国民の健康維持増進に寄与すると共にこの分野における歴史的文化財を維持管理・公開、文化地域の活性化と青少年の心身の育成と福祉まちづくりに資する。","なし",""
"コウエキザイダンホウジンカワサキシサンギョウシンコウザイダン","公益財団法人川崎市産業振興財団","公益財団法人","神奈川県","212-0013","神奈川県","川崎市幸区堀川町６６番地２０川崎市産業振興会館６階","044-548-4105","鈴木　毅","http://www.kawasaki-net.ne.jp","0401～0331","学術及び科学技術の振興を目的とする事業
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業","川崎市の産業の発展と地域経済の活性化を図るために、中小企業等の新産業・新事業創出、産学連携事業の促進や経営支援とともに、公の施設の管理運営を行う。
先端的な医療分野、薬学分野等における研究開発の推進、技術移転、人材の育成等を産学公の
もとに行う。","なし",""
"コウエキシャダンホウジンギフケンシンリョウホウシャセンギシカイ","公益社団法人岐阜県診療放射線技師会","公益社団法人","岐阜県","500-8384","岐阜県","岐阜市薮田南三丁目５番２３－５０３号","058-272-0082","加藤　秀記","https://gifuart.org/","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業","本会は、診療放射線技師の職業倫理を高揚すると共に、医用放射線の安全利用に関する知識の普及啓発、診療放射線学及び診療放射線技術の向上に関する事業を行い、県民の健康福祉と公衆衛生向上の維持発展に寄与することを目的としている．","なし",""
"コウエキシャダンホウジンニホンオペレーションズリサーチガッカイ","公益社団法人日本オペレーションズ・リサーチ学会","公益社団法人","内閣府","101-0032","東京都","千代田区岩本町１丁目１３番５号サン・チカビル内","03-3851-6100","山上　伸","http://www.orsj.or.jp/","0301～0228","学術及び科学技術の振興を目的とする事業","オペレーションズ･リサーチの研究および応用を促進し、オペレーションズ･リサーチの進歩と発達を通じて、文化と産業の発展に寄与することを目的とする事業","なし",""
"コウエキザイダンホウジンキュウシュウダイガクガクジュツケンキュウトシスイシンキコウ","公益財団法人九州大学学術研究都市推進機構","公益財団法人","福岡県","819-0367","福岡県","福岡市西区西都１丁目１番２７号MJR九大学研都市駅前１F","092-805-3677","貫　正義","http://www.opack.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
地域社会の健全な発展を目的とする事業","産学官が協働し、学術研究都市の広報活動、先端技術の研究開発とその支援、企業・研究機関等の進出支援を行い、九州大学伊都キャンパス周辺地域への知的拠点形成と、福岡県の産業育成及び県民生活向上を図る。","なし",""
"コウエキザイダンホウジンカトウキネンショウガッカイ","公益財団法人加藤記念奨学会","公益財団法人","岐阜県","501-0407","岐阜県","本巣市仏生寺８５９番地の１","058-324-1201","巽　成生","","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","将来有為な人材を育成するため、優秀な学力を持つ者で、高等学校・大学において経済的に就学困難な者に対する奨学金助成並びに諸分野の研究助成及びその他教育振興に関する事業を行う。","なし",""
"コウエキザイダンホウジン　ハラダキネンザイダン","公益財団法人原田記念財団","公益財団法人","佐賀県","843-0151","佐賀県","武雄市若木町大字川古字道免木９８５７番地１３","0954-26-3081","原田　耕太郎","https://harada-f.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業","自然科学の分野における学術の研究とその応用に従事している個人、又は団体に対する研究助成、青少年に対する奨学金の給付並びに体育振興を目的とするスポーツ人材育成事業への寄附及び関西で開催される全国高等学校運動競技大会に佐賀代表として出場する学校に対する助成。","なし",""
"コウエキザイダンホウジン　キノシタコウドウザイダン","公益財団法人木下耕道財団","公益財団法人","内閣府","739-0012","広島県","東広島市西条朝日町１１番２７号","080-7254-0179","木下　直哉","https://koudou.hiroshima.jp/","0401～0331","文化及び芸術の振興を目的とする事業
勤労意欲のある者に対する就労の支援を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","外国人技能実習制度による監理事業、スポーツの普及事業、スポーツ・舞台芸術の分野での人材育成を目的とした助成事業及びスポーツ大会、文化芸術イベントへの助成事業","なし",""
"コウエキシャダンホウジン　トウキョウトリンショウケンサギシカイ","公益社団法人東京都臨床検査技師会","公益社団法人","東京都","102-0073","東京都","千代田区九段北４丁目１番５号市ヶ谷法曹ビル４０５号","03-3239-7961","原田　典明","http://www.tmamt.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業","この法人は、臨床検査技師の研究開発を図るとともに、臨床検査技師、衛生検査技師の倫理の高揚並びに資質の向上を図り、もって臨床検査の普及啓発を行い、人々の健康増進、医療・公衆衛生の向上に寄与することを目的とする。この法人は、前記の目的を達成するために、次の事業を行う。（１）臨床検査技師・衛生検査技師の倫理の高揚並びに資質の向上に関する事業　（２）臨床検査に関する調査、研究開発及び情報の提供事業　（３）地域保健共催事業　（４）臨床検査の普及啓発事業　（５）前各号の主旨を目的とした学術誌の刊行　（６）その他この法人の目的を達成するために必要な事業","なし",""
"コウエキシャダンホウジンカナガワケンカンコウキョウカイ","公益社団法人神奈川県観光協会","公益社団法人","内閣府","231-0023","神奈川県","横浜市中区山下町１番地","045-681-0007","望月　淳","http://www.kanagawa-kankou.or.jp","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
国土の利用、整備又は保全を目的とする事業
地域社会の健全な発展を目的とする事業
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業","神奈川県の観光及び物産等の紹介宣伝及び観光客誘致に関する事業を国内外において行い、もって地域経済の振興、文化の発展、国民の観光レクリエーション活動の充実、国際観光の推進等に寄与する事を目的とする。","なし",""
"コウエキザイダンホウジン　コニカミノルタカガクギジュツシンコウザイダン","公益財団法人コニカミノルタ科学技術振興財団","公益財団法人","内閣府","192-8505","東京都","八王子市石川町2970番地コニカミノルタ株式会社内","03-6250-2120","松﨑　正年","https://www.konicaminoltastf.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業","画像科学分野を中心に科学技術の学術振興のため、「画像科学奨励賞」と称する研究助成をはじめ、光・画像に関する学会・研究機関の助成事業や国際会議の開催等の研究活動への助成事業を実施している。","なし",""
"コウエキシャダンホウジンインバシグンイシカイ","公益社団法人印旛市郡医師会","公益社団法人","千葉県","286-0036","千葉県","成田市加良部３丁目１７番地２","0476-27-0168","菅谷　義範","http://www.inba-med.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
高齢者の福祉の増進を目的とする事業
公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
勤労者の福祉の向上を目的とする事業
事故又は災害の防止を目的とする事業
国政の健全な運営の確保に資することを目的とする事業
地域社会の健全な発展を目的とする事業","医道の昴揚、医学・医術の発達普及と公衆衛生の向上を図り、社会福祉を増進することを目的とする事業","なし",""
"コウエキシャダンホウジンゼンコクロウドウエイセイダンタイレンゴウカイ","公益社団法人全国労働衛生団体連合会","公益社団法人","内閣府","108-0014","東京都","港区芝４丁目１１番５号","03-5442-5934","相澤　好治","http://www.zeneiren.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業
勤労者の福祉の向上を目的とする事業
事故又は災害の防止を目的とする事業","労働安全衛生法その他法定の健康診断、事後措置、保健指導等の適正実施及び関連専門技術の向上並びに産業保健活動の促進等を目的に、調査研究・広報、精度管理等の評価・認定、教育・研修、相談・助言の各事業を実施","なし",""
"コウエキシャダンホウジン　ウスイチョリュウシントウギジュツキョウカイ","公益社団法人雨水貯留浸透技術協会","公益社団法人","内閣府","102-0083","東京都","千代田区麹町三丁目７番１号半蔵門村山ビル１F","03-5275-9591","佐藤　直良","https://www.arsit.or.jp","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
国土の利用、整備又は保全を目的とする事業","健全な水循環系再生のための雨水貯留浸透技術に関する調査、研究・開発及び評価を行い、その成果を普及、啓発するための諸活動を行っている。","なし",""
"コウエキザイダンホウジンサイゴウナンシュウケンショウカイ","公益財団法人西郷南洲顕彰会","公益財団法人","鹿児島県","892-0851","鹿児島県","鹿児島市上竜尾町２番１号西郷南洲顕彰館内","099-247-1100","西郷　隆文","http://www.saigou.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業","西郷南洲翁等の遺徳偉業を顕彰するとともに、その事績及び精神的遺産を後世に継承するための研究調査並びに一般への啓発活動を行い、西郷南洲翁等の精神的遺産を後世に継承することを目的とする。","なし",""
"コウエキザイダンホウジンカジマイクエイカイ","公益財団法人鹿島育英会","公益財団法人","内閣府","107-8348","東京都","港区赤坂６丁目５番１１号鹿島赤坂別館","03-5544-1650","中村　満義","https://www.kajima.co.jp/csr/culture/ikuei/","0401～0331","学術及び科学技術の振興を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","学力優秀でありながら、経済的に困窮な国内大学の大学生、大学院生及び外国人留学生(大学院生)並びに設立母体企業社員遺児大学生に対し奨学金を支給する奨学事業を行っている。","なし",""
"コウエキザイダンホウジン　ショウナイチイキサカギョウシンコウセンター","公益財団法人庄内地域産業振興センター","公益財団法人","山形県","997-0015","山形県","鶴岡市末広町３番１号","0235-23-2200","理事長　皆川　　治","http://www.shonai-sansin.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
地域社会の健全な発展を目的とする事業","(１) 地域企業の経営革新、技術の高度化等、総合的な経営力の強化支援に関する事業
(２) 新事業創出及び創業促進に関する事業
(３) 産業人材等の育成に関する事業
(４) 地域企業の研究・技術開発及び需要開拓支援に関する事業
(５) 地域科学技術の振興に関する事業
(６) 産学官、企業間交流の促進に関する事業
(７) 地域住民の交流促進に関する事業
(８) 地域産業の情報化のための情報収集・提供に関する事業
(９) 公の産業振興施設の管理運営に関する事業","なし",""
"コウエキザイダンホウジンエスジーエイチザイダン","公益財団法人ＳＧＨ財団","公益財団法人","内閣府","600-8009","京都府","京都市下京区四条通室町東入函谷鉾町７９番地","075-255-9310","栗和田　榮一","https://www.sgh-foundation.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","国際的で活力ある社会の創造に向け、多面的かつ幅広く社会活動に寄与することを目的として、経済・産業、教育・文化、医療・福祉等の振興・発展を図るための研究及び事業への助成等を行う。","なし",""
"コウエキザイダンホウジンフクオカケンコクサイコウリュウセンター","公益財団法人福岡県国際交流センター","公益財団法人","福岡県","810-0001","福岡県","福岡市中央区天神１丁目１番１号","092-725-9204","大曲　昭恵","https://fief.or.jp/","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","アジアの交流拠点の実現と国際的な地域づくりを目標に、県民や在住外国人を巻き込んだ国際交流事業を展開している。","なし",""
"コウエキザイダンホウジン　コダイオリエントハクブツカン","公益財団法人古代オリエント博物館","公益財団法人","東京都","170-8630","東京都","豊島区東池袋３丁目１番４号サンシャインシティ文化会館７階","03-3989-3491","坂爪　聡","http://www.sa.il24.net/~aom/","0401～0331","学術及び科学技術の振興を目的とする事業","公益財団法人古代オリエント博物館_kana","なし",""
"コウエキシャダンホウジン　コクサイコウセイジギョウダン","公益社団法人国際厚生事業団","公益社団法人","内閣府","104-0061","東京都","中央区銀座７丁目１７番１４号松岡銀七ビル３階","03-6206-1136","水田　邦雄","http://www.jicwels.or.jp/","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","海外の福祉協力、情報交換、広報活動等を通じ国際相互の福祉の発展に貢献することを目的として1983年に設立。開発途上国を対象に研修・調査・国際会議、外国人看護師・介護福祉士候補者受入事業及び外国人介護人材への支援等を実施。","なし",""
"コウエキザイダンホウジンイチノハサマキネンリードケツエキアカデミー","公益財団法人一迫記念ＲＥＡＤ血液アカデミー","公益財団法人","宮城県","980-0004","宮城県","仙台市青葉区宮町４丁目６番２４号","022-397-6703","遠藤　一靖","http://www.irebla.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業","宮城県内における血液系疾患の長期的・継続的な追跡登録事業を基盤として血液学及び関連領域（病理学・免疫学・感染症学・保健学・検査医学等）の総合的な発展に寄与し、それをもとに県民及び国民の健康増進を図る事業","なし",""
"コウエキシャダンホウジン　イガクシンコウイチョウカイ","公益社団法人医学振興銀杏会","公益社団法人","内閣府","565-0871","大阪府","吹田市山田丘２番２号大阪大学医学部銀杏会館内","06-6879-3501","吉川　秀樹","https://www.ichou.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業","医学に関する調査・研究・学術交流の助成、医学部学生の奨学、講演会等の開催、機関誌の発行、内外の関係諸団体との相互交流、医学史料収集・展示等の助成ほか","あり","2021-07-14～2026-07-13"
"コウエキシャダンホウジンニホンガイコクトクハインキョウカイ","公益社団法人日本外国特派員協会","公益社団法人","内閣府","100-0005","東京都","千代田区丸の内３丁目２番３号丸の内二重橋ビル５階","03-3211-3161","ピーター・エルストロム","http://www.fccj.or.jp/","0401～0331","文化及び芸術の振興を目的とする事業
人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業
思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","ジャーナリズム活動を通し、広く世界の人々が共有する情報となることにより、人々の知
る権利、生活の向上安定、及び国際相互理解の促進に資することを目的とする。","あり","2021-06-10～2026-06-09"
"コウエキシャダンホウジンセイネンカイガイキョウリョクキョウカイ","公益社団法人青年海外協力協会","公益社団法人","内閣府","339-4112","長野県","駒ヶ根市中央１６番７号","0265-98-0102","雄谷　良成","http://www.joca.or.jp/","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業","国際協力事業、グローバル人材育成事業、地域国際化支援事業、地方創生事業等の実施","なし",""
"コウエキザイダンホウジンキタキュウシュウサンギョウガクジュツスイシンキコウ","公益財団法人北九州産業学術推進機構","公益財団法人","福岡県","808-0135","福岡県","北九州市若松区ひびきの２番１号","093-695-3111","松永　守央","http://www.ksrp.or.jp/fais/index.html","0401～0331","学術及び科学技術の振興を目的とする事業
地域社会の健全な発展を目的とする事業","北九州地域における産学官連携や情報通信技術の利活用による研究開発及び学術研究を推進する等により、産業技術の高度化及び活力ある地域企業群の創出・育成に寄与している。","なし",""
"コウエキザイダンホウジンアライザイダン","公益財団法人新井財団","公益財団法人","内閣府","130-0022","東京都","墨田区江東橋２丁目８番３号","03-3632-8381","新井　太郎","http://www.arai-f.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業","地下資源の開発に関する科学技術分野並びに、歴史的建造物及び街並みの保存に関する文化財分野への助成を行うことにより、社会経済の発展と文化財等の保護を図ることを目的とする。","なし",""
"コウエキザイダンホウジンタカムライクエイカイ","公益財団法人高村育英会","公益財団法人","神奈川県","224-0041","神奈川県","横浜市都筑区仲町台３丁目１２番３号","045-945-8581","高村　巖","","0401～0331","学術及び科学技術の振興を目的とする事業","前途有用な人材育成に資する為、勉学を志しながら経済的な事由により、修学が困難な大学生及び留学生を対象とする奨学金の給付事業並びに学術研究を行う者に対する研究費の助成を行い学術の振興に貢献する","なし",""
"コウエキシャダンホウジンタイキカンキョウガッカイ","公益社団法人大気環境学会","公益社団法人","内閣府","162-0801","東京都","新宿区山吹町358番地5","03-6824-9392","伊豆田猛","http://jsae-net.org/","0701～0630","学術及び科学技術の振興を目的とする事業","大気環境に関する学術的な調査及び研究並びに知識の普及を図り、大気環境保全のために
資することを目的とする事業","なし",""
"コウエキザイダンホウジンヨシカワイクエイカイ","公益財団法人吉川育英会","公益財団法人","福岡県","805-0059","福岡県","北九州市八幡東区尾倉２丁目２番２号","093-671-8626","吉川　卓志","","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","福岡県内で学ぶアジア諸国からの留学生に対して援助を行う事業","なし",""
"コウエキザイダンホウジンジェーケーエー","公益財団法人ＪＫＡ","公益財団法人","内閣府","108-8206","東京都","港区港南一丁目２番７０号品川シーズンテラス２５階","03-4226-3500","木戸　寛","https://www.keirin-autorace.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
高齢者の福祉の増進を目的とする事業
公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
犯罪の防止又は治安の維持を目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業
地域社会の健全な発展を目的とする事業
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業","機械工業の振興、公益の増進を目的とする事業に対する補助
競輪及びオートレースの統括業務
競輪競技運営、競輪開催並びに自転車競技スポーツの普及及び振興に関する事業
車両情報システムの運用管理、開発","なし",""
"コウエキザイダンホウジンコウノリンショウイガクケンキュウジョ","公益財団法人河野臨牀医学研究所","公益財団法人","内閣府","140-0001","東京都","品川区北品川一丁目２８番１５号","03-3474-1351","横山　孝","https://www.kcmi.or.jp","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","難病研究及び臨床医学研究を行い、その成果の普及を図るとともに、地域保健医療の確保と質の向上に関する事業を行う","なし",""
"コウエキシャダンホウジンサボウガッカイ","公益社団法人砂防学会","公益社団法人","内閣府","102-0093","東京都","千代田区平河町２丁目７番４号砂防会館別館","03-3222-0747","山田  孝","https://jsece.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","土石流・地すべり・崖崩れ等のような土砂の生産、移動、流出、堆積による災害の発生を抑制し、被害を防止・軽減するための学問及び技術である砂防に関する研究及び調査並びにその奨励と普及等を行っている。","なし",""
"コウエキザイダンホウジン　フルカワキネンキキン","公益財団法人古河記念基金","公益財団法人","内閣府","100-0004","東京都","千代田区大手町二丁目６番４号　常盤橋タワー　古河三水会内","03-6262-0804","吉田　政雄","","0401～0331","学術及び科学技術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業","経済的理由により修学困難を抱える学業優秀な日本人学生及び外国人留学生に対し、理工科系統を優先して、奨学金を授与する。また、理工科に関する研究機関及び研究者に対し、研究費を助成する。","あり","2022-01-06～2027-01-24"
"コウエキザイダンホウジンニッチュウギノウシャコウリュウセンター","公益財団法人日中技能者交流センター","公益財団法人","内閣府","101-0003","東京都","千代田区一ツ橋２丁目６番２号","03-5212-2531","岡島　真砂樹","http://www.jcsec.or.jp/","0401～0331","障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","1中国等との人材育成に関する事業およびこれに関する無料職業紹介事業 2中国等との交流及び勤労者の交流に関する事業 3中国等の労働事情などの調査、研究、出版、ｾﾐﾅｰ等の事業 4外国人就労者受入の収益事業 5特定技能外国人に対する支援に係る収益事業","なし",""
"コウエキザイダンホウジンニホンパキスタンキョウカイ","公益財団法人日本・パキスタン協会","公益財団法人","内閣府","166-0002","東京都","杉並区高円寺北２丁目２９番１４号伊藤第２ビル２０２号室","03-5327-3588","今泉　濬","http://www.japan-pakistan.org","0401～0331","文化及び芸術の振興を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","日本とパキスタン両国間の相互理解の促進を目的とした事業を行う。","なし",""
"コウエキザイダンホウジンメグロキセイチュウカン","公益財団法人目黒寄生虫館","公益財団法人","内閣府","153-0064","東京都","目黒区下目黒４丁目１番１号","03-3716-1264","亀谷　みどり","http://www.kiseichu.org/","0401～0331","学術及び科学技術の振興を目的とする事業","形態学・分類学を中心に、寄生虫学の研究調査を主体とした事業を行う。また、同名の登録博物館を設置・管理運営し、広く一般に向けた啓蒙活動にも努めている。もって寄生虫学の発展に寄与することを目的とする。","あり","2025-01-27～2030-01-26"
